simulation_id,workflow,domain,y_min,y_max,chains,draws_per_chain,posterior_draws_total,n_obs,pvs_theta,pvs_pred,pvs_joint,trace_member,pvs_theta_nominal,pvs_pred_nominal,pvs_joint_nominal,delta_pvs_theta_vs_nominal,delta_pvs_pred_vs_nominal,delta_pvs_joint_vs_nominal
26,area,narrow,0.02,0.98,4,3000,12000,288,0.47475,0.7995219907407407,0.3802320601851852,trace_pvs_sdescriptor_mismatch_nominal_sim26.nc,0.6868333333333333,0.8638877314814815,0.5935720486111111,-0.2120833333333333,-0.06436574074074075,-0.21333998842592594
26,area,nominal,0.0,1.0,4,3000,12000,288,0.6868333333333333,0.8638877314814815,0.5935720486111111,trace_pvs_sdescriptor_mismatch_nominal_sim26.nc,0.6868333333333333,0.8638877314814815,0.5935720486111111,0.0,0.0,0.0
27,area,broad,-0.05,1.05,4,3000,12000,288,0.93725,0.9833347800925926,0.9216686921296297,trace_pvs_sdescriptor_mismatch_nominal_sim27.nc,0.7599166666666667,0.9394560185185186,0.7141999421296297,0.17733333333333334,0.043878761574074,0.20746874999999998
27,area,narrow,0.02,0.98,4,3000,12000,288,0.5803333333333334,0.8982311921296297,0.5219519675925925,trace_pvs_sdescriptor_mismatch_nominal_sim27.nc,0.7599166666666667,0.9394560185185186,0.7141999421296297,-0.17958333333333332,-0.04122482638888891,-0.19224797453703713
27,area,nominal,0.0,1.0,4,3000,12000,288,0.7599166666666667,0.9394560185185186,0.7141999421296297,trace_pvs_sdescriptor_mismatch_nominal_sim27.nc,0.7599166666666667,0.9394560185185186,0.7141999421296297,0.0,0.0,0.0
28,area,broad,-0.05,1.05,4,3000,12000,288,0.9275,0.969359375,0.8991195023148149,trace_pvs_sdescriptor_mismatch_nominal_sim28.nc,0.6783333333333333,0.8851192129629629,0.6008804976851851,0.24916666666666665,0.0842401620370371,0.2982390046296297
28,area,narrow,0.02,0.98,4,3000,12000,288,0.437,0.8227586805555556,0.3604030671296296,trace_pvs_sdescriptor_mismatch_nominal_sim28.nc,0.6783333333333333,0.8851192129629629,0.6008804976851851,-0.24133333333333334,-0.062360532407407354,-0.24047743055555554
28,area,nominal,0.0,1.0,4,3000,12000,288,0.6783333333333333,0.8851192129629629,0.6008804976851851,trace_pvs_sdescriptor_mismatch_nominal_sim28.nc,0.6783333333333333,0.8851192129629629,0.6008804976851851,0.0,0.0,0.0
29,area,broad,-0.05,1.05,4,3000,12000,288,0.9650833333333333,0.9834239004629629,0.9491085069444445,trace_pvs_sdescriptor_mismatch_nominal_sim29.nc,0.8335833333333333,0.9276866319444445,0.7736487268518518,0.13149999999999995,0.05573726851851846,0.17545978009259267
29,area,narrow,0.02,0.98,4,3000,12000,288,0.6738333333333333,0.8764479166666667,0.591089699074074,trace_pvs_sdescriptor_mismatch_nominal_sim29.nc,0.8335833333333333,0.9276866319444445,0.7736487268518518,-0.15975000000000006,-0.05123871527777779,-0.18255902777777777
29,area,nominal,0.0,1.0,4,3000,12000,288,0.8335833333333333,0.9276866319444445,0.7736487268518518,trace_pvs_sdescriptor_mismatch_nominal_sim29.nc,0.8335833333333333,0.9276866319444445,0.7736487268518518,0.0,0.0,0.0
30,area,broad,-0.05,1.05,4,3000,12000,288,0.9804166666666667,0.9802965856481481,0.9611116898148148,trace_pvs_sdescriptor_mismatch_nominal_sim30.nc,0.8665833333333334,0.8963987268518518,0.7771857638888889,0.11383333333333334,0.0838978587962963,0.18392592592592583
30,area,narrow,0.02,0.98,4,3000,12000,288,0.65075,0.8192520254629629,0.5340807291666667,trace_pvs_sdescriptor_mismatch_nominal_sim30.nc,0.8665833333333334,0.8963987268518518,0.7771857638888889,-0.21583333333333332,-0.0771467013888889,-0.24310503472222222
30,area,nominal,0.0,1.0,4,3000,12000,288,0.8665833333333334,0.8963987268518518,0.7771857638888889,trace_pvs_sdescriptor_mismatch_nominal_sim30.nc,0.8665833333333334,0.8963987268518518,0.7771857638888889,0.0,0.0,0.0
31,area,broad,-0.05,1.05,4,3000,12000,288,0.9868333333333333,0.9840905671296296,0.9711313657407408,trace_pvs_sdescriptor_mismatch_nominal_sim31.nc,0.9060833333333334,0.9202552083333333,0.8339644097222222,0.08074999999999999,0.06383535879629632,0.13716695601851858
31,area,narrow,0.02,0.98,4,3000,12000,288,0.7705,0.8589754050925926,0.6623527199074074,trace_pvs_sdescriptor_mismatch_nominal_sim31.nc,0.9060833333333334,0.9202552083333333,0.8339644097222222,-0.1355833333333334,-0.06127980324074067,-0.17161168981481478
31,area,nominal,0.0,1.0,4,3000,12000,288,0.9060833333333334,0.9202552083333333,0.8339644097222222,trace_pvs_sdescriptor_mismatch_nominal_sim31.nc,0.9060833333333334,0.9202552083333333,0.8339644097222222,0.0,0.0,0.0
32,area,broad,-0.05,1.05,4,3000,12000,288,0.9799166666666667,0.9812337962962963,0.9615280671296297,trace_pvs_sdescriptor_mismatch_nominal_sim32.nc,0.8798333333333334,0.9054134837962963,0.7968411458333333,0.1000833333333333,0.07582031249999999,0.16468692129629636
32,area,narrow,0.02,0.98,4,3000,12000,288,0.71975,0.8354195601851852,0.6019560185185185,trace_pvs_sdescriptor_mismatch_nominal_sim32.nc,0.8798333333333334,0.9054134837962963,0.7968411458333333,-0.16008333333333336,-0.06999392361111112,-0.19488512731481478
32,area,nominal,0.0,1.0,4,3000,12000,288,0.8798333333333334,0.9054134837962963,0.7968411458333333,trace_pvs_sdescriptor_mismatch_nominal_sim32.nc,0.8798333333333334,0.9054134837962963,0.7968411458333333,0.0,0.0,0.0
33,area,broad,-0.05,1.05,4,3000,12000,288,0.9914166666666666,0.9588874421296296,0.9506672453703704,trace_pvs_sdescriptor_mismatch_nominal_sim33.nc,0.8585,0.8407282986111111,0.7225390625,0.13291666666666657,0.11815914351851853,0.2281281828703704
33,area,narrow,0.02,0.98,4,3000,12000,288,0.35775,0.7506006944444444,0.27030671296296294,trace_pvs_sdescriptor_mismatch_nominal_sim33.nc,0.8585,0.8407282986111111,0.7225390625,-0.50075,-0.09012760416666665,-0.45223234953703706
33,area,nominal,0.0,1.0,4,3000,12000,288,0.8585,0.8407282986111111,0.7225390625,trace_pvs_sdescriptor_mismatch_nominal_sim33.nc,0.8585,0.8407282986111111,0.7225390625,0.0,0.0,0.0
34,area,broad,-0.05,1.05,4,3000,12000,288,0.94275,0.9701733217592593,0.9147037037037037,trace_pvs_sdescriptor_mismatch_nominal_sim34.nc,0.7324166666666667,0.8805234375,0.645425925925926,0.21033333333333326,0.08964988425925935,0.2692777777777777
