simulation_id,workflow,domain,y_min,y_max,chains,draws_per_chain,posterior_draws_total,n_obs,pvs_theta,pvs_pred,pvs_joint,trace_member
17,area,narrow,0.02,0.98,4,3000,12000,288,0.5789166666666666,0.8299809027777778,0.4811241319444444,trace_pvs_sdescriptor_mismatch_nominal_sim17.nc
17,area,nominal,0.0,1.0,4,3000,12000,288,0.7799166666666667,0.8992161458333333,0.7016012731481481,trace_pvs_sdescriptor_mismatch_nominal_sim17.nc
18,area,broad,-0.05,1.05,4,3000,12000,288,0.8854166666666666,0.9835104166666667,0.8708695023148149,trace_pvs_sdescriptor_mismatch_nominal_sim18.nc
18,area,narrow,0.02,0.98,4,3000,12000,288,0.28508333333333336,0.8714635416666666,0.24918952546296297,trace_pvs_sdescriptor_mismatch_nominal_sim18.nc
18,area,nominal,0.0,1.0,4,3000,12000,288,0.5476666666666666,0.9216455439814815,0.5053833912037037,trace_pvs_sdescriptor_mismatch_nominal_sim18.nc
19,area,broad,-0.05,1.05,4,3000,12000,288,0.9621666666666666,0.9735211226851852,0.9367120949074074,trace_pvs_sdescriptor_mismatch_nominal_sim19.nc
19,area,narrow,0.02,0.98,4,3000,12000,288,0.6220833333333333,0.8285868055555555,0.5162476851851852,trace_pvs_sdescriptor_mismatch_nominal_sim19.nc
19,area,nominal,0.0,1.0,4,3000,12000,288,0.8135833333333333,0.8922282986111111,0.7262476851851852,trace_pvs_sdescriptor_mismatch_nominal_sim19.nc
20,area,broad,-0.05,1.05,4,3000,12000,288,0.9734166666666667,0.9784982638888889,0.9524861111111111,trace_pvs_sdescriptor_mismatch_nominal_sim20.nc
20,area,narrow,0.02,0.98,4,3000,12000,288,0.6431666666666667,0.8213602430555556,0.5294322916666667,trace_pvs_sdescriptor_mismatch_nominal_sim20.nc
20,area,nominal,0.0,1.0,4,3000,12000,288,0.8463333333333334,0.8943237847222222,0.7572002314814815,trace_pvs_sdescriptor_mismatch_nominal_sim20.nc
21,area,broad,-0.05,1.05,4,3000,12000,288,0.9713333333333334,0.9911941550925926,0.9627942708333334,trace_pvs_sdescriptor_mismatch_nominal_sim21.nc
21,area,narrow,0.02,0.98,4,3000,12000,288,0.7015833333333333,0.8977025462962963,0.6303075810185185,trace_pvs_sdescriptor_mismatch_nominal_sim21.nc
21,area,nominal,0.0,1.0,4,3000,12000,288,0.85825,0.9468778935185185,0.8128052662037037,trace_pvs_sdescriptor_mismatch_nominal_sim21.nc
22,area,broad,-0.05,1.05,4,3000,12000,288,0.978,0.98475,0.9631174768518519,trace_pvs_sdescriptor_mismatch_nominal_sim22.nc
22,area,narrow,0.02,0.98,4,3000,12000,288,0.49425,0.8842728587962962,0.4384537037037037,trace_pvs_sdescriptor_mismatch_nominal_sim22.nc
22,area,nominal,0.0,1.0,4,3000,12000,288,0.8028333333333333,0.933863425925926,0.7504586226851852,trace_pvs_sdescriptor_mismatch_nominal_sim22.nc
23,area,broad,-0.05,1.05,4,3000,12000,288,0.9770833333333333,0.9841802662037037,0.9616383101851852,trace_pvs_sdescriptor_mismatch_nominal_sim23.nc
23,area,narrow,0.02,0.98,4,3000,12000,288,0.7111666666666666,0.8447913773148148,0.6015674189814815,trace_pvs_sdescriptor_mismatch_nominal_sim23.nc
23,area,nominal,0.0,1.0,4,3000,12000,288,0.8713333333333333,0.9146944444444445,0.7971889467592592,trace_pvs_sdescriptor_mismatch_nominal_sim23.nc
24,area,broad,-0.05,1.05,4,3000,12000,288,0.9599166666666666,0.9793373842592593,0.9400720486111112,trace_pvs_sdescriptor_mismatch_nominal_sim24.nc
24,area,narrow,0.02,0.98,4,3000,12000,288,0.566,0.7998802083333333,0.453306712962963,trace_pvs_sdescriptor_mismatch_nominal_sim24.nc
24,area,nominal,0.0,1.0,4,3000,12000,288,0.7849166666666667,0.8786148726851852,0.6900289351851852,trace_pvs_sdescriptor_mismatch_nominal_sim24.nc
25,area,broad,-0.05,1.05,4,3000,12000,288,0.9524166666666667,0.9754490740740741,0.9290697337962963,trace_pvs_sdescriptor_mismatch_nominal_sim25.nc
25,area,narrow,0.02,0.98,4,3000,12000,288,0.5390833333333334,0.7963214699074074,0.43007667824074075,trace_pvs_sdescriptor_mismatch_nominal_sim25.nc
25,area,nominal,0.0,1.0,4,3000,12000,288,0.7614166666666666,0.8756452546296296,0.6670787037037037,trace_pvs_sdescriptor_mismatch_nominal_sim25.nc
26,area,broad,-0.05,1.05,4,3000,12000,288,0.9256666666666666,0.9623298611111111,0.8908174189814815,trace_pvs_sdescriptor_mismatch_nominal_sim26.nc
26,area,narrow,0.02,0.98,4,3000,12000,288,0.47475,0.7995219907407407,0.3802320601851852,trace_pvs_sdescriptor_mismatch_nominal_sim26.nc
26,area,nominal,0.0,1.0,4,3000,12000,288,0.6868333333333333,0.8638877314814815,0.5935720486111111,trace_pvs_sdescriptor_mismatch_nominal_sim26.nc
27,area,broad,-0.05,1.05,4,3000,12000,288,0.93725,0.9833347800925926,0.9216686921296297,trace_pvs_sdescriptor_mismatch_nominal_sim27.nc
27,area,narrow,0.02,0.98,4,3000,12000,288,0.5803333333333334,0.8982311921296297,0.5219519675925925,trace_pvs_sdescriptor_mismatch_nominal_sim27.nc
27,area,nominal,0.0,1.0,4,3000,12000,288,0.7599166666666667,0.9394560185185186,0.7141999421296297,trace_pvs_sdescriptor_mismatch_nominal_sim27.nc
28,area,broad,-0.05,1.05,4,3000,12000,288,0.9275,0.969359375,0.8991195023148149,trace_pvs_sdescriptor_mismatch_nominal_sim28.nc
28,area,narrow,0.02,0.98,4,3000,12000,288,0.437,0.8227586805555556,0.3604030671296296,trace_pvs_sdescriptor_mismatch_nominal_sim28.nc
28,area,nominal,0.0,1.0,4,3000,12000,288,0.6783333333333333,0.8851192129629629,0.6008804976851851,trace_pvs_sdescriptor_mismatch_nominal_sim28.nc
29,area,broad,-0.05,1.05,4,3000,12000,288,0.9650833333333333,0.9834239004629629,0.9491085069444445,trace_pvs_sdescriptor_mismatch_nominal_sim29.nc
29,area,narrow,0.02,0.98,4,3000,12000,288,0.6738333333333333,0.8764479166666667,0.591089699074074,trace_pvs_sdescriptor_mismatch_nominal_sim29.nc
29,area,nominal,0.0,1.0,4,3000,12000,288,0.8335833333333333,0.9276866319444445,0.7736487268518518,trace_pvs_sdescriptor_mismatch_nominal_sim29.nc
30,area,broad,-0.05,1.05,4,3000,12000,288,0.9804166666666667,0.9802965856481481,0.9611116898148148,trace_pvs_sdescriptor_mismatch_nominal_sim30.nc
30,area,narrow,0.02,0.98,4,3000,12000,288,0.65075,0.8192520254629629,0.5340807291666667,trace_pvs_sdescriptor_mismatch_nominal_sim30.nc
30,area,nominal,0.0,1.0,4,3000,12000,288,0.8665833333333334,0.8963987268518518,0.7771857638888889,trace_pvs_sdescriptor_mismatch_nominal_sim30.nc
31,area,broad,-0.05,1.05,4,3000,12000,288,0.9868333333333333,0.9840905671296296,0.9711313657407408,trace_pvs_sdescriptor_mismatch_nominal_sim31.nc
31,area,narrow,0.02,0.98,4,3000,12000,288,0.7705,0.8589754050925926,0.6623527199074074,trace_pvs_sdescriptor_mismatch_nominal_sim31.nc
31,area,nominal,0.0,1.0,4,3000,12000,288,0.9060833333333334,0.9202552083333333,0.8339644097222222,trace_pvs_sdescriptor_mismatch_nominal_sim31.nc
32,area,broad,-0.05,1.05,4,3000,12000,288,0.9799166666666667,0.9812337962962963,0.9615280671296297,trace_pvs_sdescriptor_mismatch_nominal_sim32.nc
32,area,narrow,0.02,0.98,4,3000,12000,288,0.71975,0.8354195601851852,0.6019560185185185,trace_pvs_sdescriptor_mismatch_nominal_sim32.nc
32,area,nominal,0.0,1.0,4,3000,12000,288,0.8798333333333334,0.9054134837962963,0.7968411458333333,trace_pvs_sdescriptor_mismatch_nominal_sim32.nc
33,area,broad,-0.05,1.05,4,3000,12000,288,0.9914166666666666,0.9588874421296296,0.9506672453703704,trace_pvs_sdescriptor_mismatch_nominal_sim33.nc
33,area,narrow,0.02,0.98,4,3000,12000,288,0.35775,0.7506006944444444,0.27030671296296294,trace_pvs_sdescriptor_mismatch_nominal_sim33.nc
33,area,nominal,0.0,1.0,4,3000,12000,288,0.8585,0.8407282986111111,0.7225390625,trace_pvs_sdescriptor_mismatch_nominal_sim33.nc
34,area,broad,-0.05,1.05,4,3000,12000,288,0.94275,0.9701733217592593,0.9147037037037037,trace_pvs_sdescriptor_mismatch_nominal_sim34.nc
34,area,narrow,0.02,0.98,4,3000,12000,288,0.5031666666666667,0.8151767939814815,0.41103269675925924,trace_pvs_sdescriptor_mismatch_nominal_sim34.nc
34,area,nominal,0.0,1.0,4,3000,12000,288,0.7324166666666667,0.8805234375,0.645425925925926,trace_pvs_sdescriptor_mismatch_nominal_sim34.nc
35,area,broad,-0.05,1.05,4,3000,12000,288,0.98425,0.987052662037037,0.971505787037037,trace_pvs_sdescriptor_mismatch_nominal_sim35.nc
35,area,narrow,0.02,0.98,4,3000,12000,288,0.8129166666666666,0.8845309606481482,0.7195486111111111,trace_pvs_sdescriptor_mismatch_nominal_sim35.nc
35,area,nominal,0.0,1.0,4,3000,12000,288,0.9150833333333334,0.9370515046296296,0.857621238425926,trace_pvs_sdescriptor_mismatch_nominal_sim35.nc
36,area,broad,-0.05,1.05,4,3000,12000,288,0.9945833333333334,0.9805199652777777,0.9752161458333334,trace_pvs_sdescriptor_mismatch_nominal_sim36.nc
36,area,narrow,0.02,0.98,4,3000,12000,288,0.79525,0.8147650462962963,0.6488776041666666,trace_pvs_sdescriptor_mismatch_nominal_sim36.nc
36,area,nominal,0.0,1.0,4,3000,12000,288,0.9415833333333333,0.8917123842592592,0.8397939814814814,trace_pvs_sdescriptor_mismatch_nominal_sim36.nc
37,area,broad,-0.05,1.05,4,3000,12000,288,0.9866666666666667,0.989265625,0.9760784143518518,trace_pvs_sdescriptor_mismatch_nominal_sim37.nc
37,area,narrow,0.02,0.98,4,3000,12000,288,0.852,0.8773825231481481,0.7478952546296296,trace_pvs_sdescriptor_mismatch_nominal_sim37.nc
37,area,nominal,0.0,1.0,4,3000,12000,288,0.9283333333333333,0.9355173611111111,0.868578125,trace_pvs_sdescriptor_mismatch_nominal_sim37.nc
38,area,broad,-0.05,1.05,4,3000,12000,288,0.9618333333333333,0.9871875,0.9495107060185185,trace_pvs_sdescriptor_mismatch_nominal_sim38.nc
38,area,narrow,0.02,0.98,4,3000,12000,288,0.5429166666666667,0.8902913773148148,0.4841863425925926,trace_pvs_sdescriptor_mismatch_nominal_sim38.nc
38,area,nominal,0.0,1.0,4,3000,12000,288,0.7745,0.9401276041666666,0.7285023148148149,trace_pvs_sdescriptor_mismatch_nominal_sim38.nc
39,area,broad,-0.05,1.05,4,3000,12000,288,0.9891666666666666,0.9861388888888889,0.9754641203703703,trace_pvs_sdescriptor_mismatch_nominal_sim39.nc
39,area,narrow,0.02,0.98,4,3000,12000,288,0.844,0.868162037037037,0.7331961805555556,trace_pvs_sdescriptor_mismatch_nominal_sim39.nc
39,area,nominal,0.0,1.0,4,3000,12000,288,0.9394166666666667,0.929943287037037,0.8736961805555555,trace_pvs_sdescriptor_mismatch_nominal_sim39.nc
40,area,broad,-0.05,1.05,4,3000,12000,288,0.9,0.9458735532407407,0.8514152199074074,trace_pvs_sdescriptor_mismatch_nominal_sim40.nc
40,area,narrow,0.02,0.98,4,3000,12000,288,0.34891666666666665,0.7683058449074074,0.2687456597222222,trace_pvs_sdescriptor_mismatch_nominal_sim40.nc
40,area,nominal,0.0,1.0,4,3000,12000,288,0.5969166666666667,0.8352413194444445,0.49910792824074074,trace_pvs_sdescriptor_mismatch_nominal_sim40.nc
41,area,broad,-0.05,1.05,4,3000,12000,288,0.9774166666666667,0.9814198495370371,0.959247974537037,trace_pvs_sdescriptor_mismatch_nominal_sim41.nc
41,area,narrow,0.02,0.98,4,3000,12000,288,0.7685,0.8542149884259259,0.6571359953703704,trace_pvs_sdescriptor_mismatch_nominal_sim41.nc
41,area,nominal,0.0,1.0,4,3000,12000,288,0.89925,0.9183423032407407,0.8259444444444445,trace_pvs_sdescriptor_mismatch_nominal_sim41.nc
42,area,broad,-0.05,1.05,4,3000,12000,288,0.9740833333333333,0.9834369212962963,0.9579675925925926,trace_pvs_sdescriptor_mismatch_nominal_sim42.nc
42,area,narrow,0.02,0.98,4,3000,12000,288,0.6839166666666666,0.8651929976851852,0.5923767361111111,trace_pvs_sdescriptor_mismatch_nominal_sim42.nc
