simulation_id,scenario_id,model_name,descriptor_used,n_obs,n_labs,n_batches,n_exposure_levels,n_replicates,rmse,mae,r2_or_pseudo_r2,aic,bic,coverage_50,coverage_80,coverage_90,coverage_95,rhat_max,ess_bulk_min,ess_tail_min,n_divergences,bfmi_min,ppc_coverage,lab_variance_recovery,batch_variance_recovery,transition_region_error,extrapolation_error,pvs_theta,pvs_pred,pvs_descriptor,pvs_joint,prior_sensitivity_delta_pvs,admissibility_sensitivity_delta_pvs,runtime_seconds,residual_normality_p,residual_heteroscedasticity_p,residual_tail_flag,diagnostic_flag
125,descriptor_mismatch_nominal,Bayes_hierarchical_mass_MCMC,mass,288,3,4,8,3,0.156166144292948,0.13332451400637071,0.8079227157684774,,,0.4236111111111111,0.7881944444444444,0.9375,1.0,1.0,2647.0,2182.0,7.0,0.7316769152429227,1.0,1.1977055974764976,1.7814287355747853,0.07048816914041184,,,0.778111400462963,1.0,0.778111400462963,,,24.348932312001125,0.0007412124874814003,0.0048261839683203115,0.0,divergences;heteroscedastic_residuals;low_joint_pvs
125,descriptor_mismatch_nominal,PVS_aware_area_MCMC,reactive_area,288,3,4,8,3,0.04165522219036152,0.03289440538816199,0.986334008642241,,,0.5173611111111112,0.8229166666666666,0.9270833333333334,0.9548611111111112,1.0,3132.0,3603.0,0.0,0.8024789346937722,0.9548611111111112,2.109930915044052,1.4089347753320842,0.010951326628218306,,0.8563333333333333,0.9335711805555555,1.0,0.7996478587962963,,,91.21453307400225,0.04002035937564817,0.11337944244565622,0.0,low_joint_pvs
126,descriptor_mismatch_nominal,OLS_ANOVA_mass_fixed_effects,mass,288,3,4,8,3,0.14797827832763666,0.12599565784535283,0.8351331302848679,-269.24872048461395,-243.60799712366233,,,,,,,,,,,,,0.08234066464292902,,,,,,,,0.006325976995867677,0.005603919551370609,0.0005589195479157597,0.0,heteroscedastic_residuals
126,descriptor_mismatch_nominal,Bayes_hierarchical_mass_MCMC,mass,288,3,4,8,3,0.1482187986302923,0.12596175171388813,0.8345967535134079,,,0.4131944444444444,0.8125,0.9409722222222222,0.9895833333333334,1.0,2512.0,3001.0,9.0,0.7115255527018496,0.9895833333333334,1.1454435261400062,2.1330234670422077,0.08631154873439986,,,0.7756067708333333,1.0,0.7756067708333333,,,26.458743644994684,0.0054653550195675644,0.0005132695528451746,0.0,divergences;heteroscedastic_residuals;low_joint_pvs
126,descriptor_mismatch_nominal,PVS_aware_area_MCMC,reactive_area,288,3,4,8,3,0.056704850414360845,0.04027642108362539,0.9757909431598506,,,0.5208333333333334,0.8298611111111112,0.90625,0.9513888888888888,1.0,3416.0,4784.0,0.0,0.7916579049774962,0.9513888888888888,2.3718522921601055,1.8662560022890864,0.007948442473575817,,0.8088333333333333,0.8936316550925926,1.0,0.723205150462963,,,87.2199291500001,1.9339828878959096e-99,0.020728427194990323,1.0,heteroscedastic_residuals;low_joint_pvs
127,descriptor_mismatch_nominal,OLS_ANOVA_mass_fixed_effects,mass,288,3,4,8,3,0.16040836419441068,0.1393745703637253,0.813222091468518,-222.79008977199453,-197.1493664110429,,,,,,,,,,,,,0.11114309500637153,,,,,,,,0.007102283998392522,0.0011792961925308344,6.544747455272966e-05,0.0,heteroscedastic_residuals
127,descriptor_mismatch_nominal,Bayes_hierarchical_mass_MCMC,mass,288,3,4,8,3,0.16076135308174047,0.13935247783429736,0.812399153480014,,,0.3784722222222222,0.8194444444444444,0.9340277777777778,0.9930555555555556,1.0,3863.0,4662.0,0.0,0.7900174362869784,0.9930555555555556,5.287413021106895,1.3222175034600518,0.113682652672424,,,0.7704438657407408,1.0,0.7704438657407408,,,33.78307473400491,0.0012940719612372774,4.633306592696454e-05,0.0,heteroscedastic_residuals;low_joint_pvs
127,descriptor_mismatch_nominal,PVS_aware_area_MCMC,reactive_area,288,3,4,8,3,0.05497765982448305,0.03988859763080204,0.9780596279637055,,,0.5,0.8333333333333334,0.90625,0.9583333333333334,1.0,2729.0,4063.0,0.0,0.7421293173041178,0.9583333333333334,1.6997885725448398,1.352792032374313,0.008814653223293358,,0.8971666666666667,0.9023723958333333,1.0,0.8097902199074074,,,79.57973973800836,7.177179025820866e-34,0.06005137128734818,1.0,ok
128,descriptor_mismatch_nominal,OLS_ANOVA_mass_fixed_effects,mass,288,3,4,8,3,0.1488004843495409,0.1277492605401695,0.832836251799873,-266.0571721676032,-240.41644880665157,,,,,,,,,,,,,0.07912266324567314,,,,,,,,0.0065411420073360205,0.0014670874886761403,0.0003897375083033642,0.0,heteroscedastic_residuals
128,descriptor_mismatch_nominal,Bayes_hierarchical_mass_MCMC,mass,288,3,4,8,3,0.14905142083058776,0.12723279503439444,0.8322719679813024,,,0.4375,0.7916666666666666,0.9479166666666666,0.9861111111111112,1.0,2581.0,3906.0,1.0,0.6878920391793689,0.9861111111111112,3.566883539624832,1.8281917692919178,0.07935103486019852,,,0.7770405092592593,1.0,0.7770405092592593,,,31.08941820000473,0.001991162142161313,0.0002571398531198029,0.0,divergences;heteroscedastic_residuals;low_joint_pvs
128,descriptor_mismatch_nominal,PVS_aware_area_MCMC,reactive_area,288,3,4,8,3,0.05181863690103599,0.03839528359178526,0.9797275900493573,,,0.5347222222222222,0.8263888888888888,0.8993055555555556,0.96875,1.0,3174.0,3677.0,0.0,0.7855156033575291,0.96875,2.558610365718913,1.9672229786575903,0.014089441462854131,,0.8036666666666666,0.9005983796296296,1.0,0.724046875,,,95.00066790101118,2.0390544593414094e-22,0.0015576591922651893,1.0,heteroscedastic_residuals;low_joint_pvs
129,descriptor_mismatch_nominal,OLS_ANOVA_mass_fixed_effects,mass,288,3,4,8,3,0.15203874733724124,0.13131376093230346,0.8277805724930045,-253.65645225734113,-228.0157288963895,,,,,,,,,,,,,0.07208277824030386,,,,,,,,0.006452401998103596,0.00041668286969360666,7.051873895391353e-05,0.0,heteroscedastic_residuals
