simulation_id,scenario_id,model_name,descriptor_used,n_obs,n_labs,n_batches,n_exposure_levels,n_replicates,rmse,mae,r2_or_pseudo_r2,aic,bic,coverage_50,coverage_80,coverage_90,coverage_95,rhat_max,ess_bulk_min,ess_tail_min,n_divergences,bfmi_min,ppc_coverage,lab_variance_recovery,batch_variance_recovery,transition_region_error,extrapolation_error,pvs_theta,pvs_pred,pvs_descriptor,pvs_joint,prior_sensitivity_delta_pvs,admissibility_sensitivity_delta_pvs,runtime_seconds,residual_normality_p,residual_heteroscedasticity_p,residual_tail_flag,diagnostic_flag,prior_mode,source,targeted_fit_seed,wallclock_seconds_stage8,rmse_nominal,mae_nominal,ppc_coverage_nominal,pvs_theta_nominal,pvs_pred_nominal,pvs_joint_nominal,n_divergences_nominal,rhat_max_nominal,ess_bulk_min_nominal,ess_tail_min_nominal,bfmi_min_nominal,runtime_seconds_nominal,delta_rmse_vs_nominal,delta_mae_vs_nominal,delta_ppc_coverage_vs_nominal,delta_pvs_theta_vs_nominal,delta_pvs_pred_vs_nominal,delta_pvs_joint_vs_nominal,delta_n_divergences_vs_nominal,delta_rhat_max_vs_nominal,delta_ess_bulk_min_vs_nominal,delta_ess_tail_min_vs_nominal,delta_bfmi_min_vs_nominal,delta_runtime_seconds_vs_nominal
12,prior_narrow,PVS_aware_area_MCMC,reactive_area,288,3,4,8,3,0.04310957341672377,0.03282952201600034,0.9842847955108256,,,0.5451388888888888,0.8159722222222222,0.9097222222222222,0.9513888888888888,1.0,2184.0,3927.0,0.0,0.7867873686515874,0.9513888888888888,2.6575619850490466,1.0243113971366793,0.011272352205119221,,0.5291666666666667,0.7528683449074074,1.0,0.3990109953703704,,,136.85836194403237,0.006360629045806814,0.030759568425153556,0.0,heteroscedastic_residuals;low_joint_pvs,narrow,new_targeted_fit,21472630.0,136.85838913917542,0.0431057736703561,0.0327774076922079,0.9513888888888888,0.5385,0.7527546296296296,0.4058440393518518,0.0,1.0,2666.0,3911.0,0.7461570941201024,93.32751542099868,3.7997463676747723e-06,5.2114323792443185e-05,0.0,-0.009333333333333305,0.00011371527777781498,-0.006833043981481435,0.0,0.0,-482.0,16.0,0.04063027453148493,43.53084652303369
12,prior_broad,PVS_aware_area_MCMC,reactive_area,288,3,4,8,3,0.04307324707661926,0.03276529125622389,0.9843112692285269,,,0.5381944444444444,0.8125,0.90625,0.9444444444444444,1.0,2781.0,4064.0,0.0,0.7890367480046342,0.9444444444444444,2.6686261567911833,1.008013294519394,0.012020304660815221,,0.5515833333333333,0.7527543402777778,1.0,0.41581278935185184,,,126.90434763702797,0.005980458117323687,0.030992475661703482,0.0,heteroscedastic_residuals;low_joint_pvs,broad,new_targeted_fit,21482630.0,126.90437459945679,0.0431057736703561,0.0327774076922079,0.9513888888888888,0.5385,0.7527546296296296,0.4058440393518518,0.0,1.0,2666.0,3911.0,0.7461570941201024,93.32751542099868,-3.2526593736835474e-05,-1.2116435984005358e-05,-0.00694444444444442,0.013083333333333336,-2.893518518121141e-07,0.009968750000000026,0.0,0.0,115.0,153.0,0.04287965388453174,33.57683221602929
12,prior_mildly_misspecified,PVS_aware_area_MCMC,reactive_area,288,3,4,8,3,0.04309075738247932,0.03279641432253701,0.984298510946669,,,0.5381944444444444,0.8125,0.9027777777777778,0.9548611111111112,1.0,2716.0,2587.0,0.0,0.7696516160023118,0.9548611111111112,2.7812515819564196,1.03063767473282,0.011833375564012365,,0.5395833333333333,0.753087962962963,1.0,0.4069458912037037,,,138.46170909301145,0.006785483233730478,0.029164370003079382,0.0,heteroscedastic_residuals;low_joint_pvs,mildly_misspecified,new_targeted_fit,21492630.0,138.46173930168152,0.0431057736703561,0.0327774076922079,0.9513888888888888,0.5385,0.7527546296296296,0.4058440393518518,0.0,1.0,2666.0,3911.0,0.7461570941201024,93.32751542099868,-1.5016287876777612e-05,1.900663032911032e-05,0.003472222222222321,0.001083333333333325,0.00033333333333340764,0.0011018518518519094,0.0,0.0,50.0,-1324.0,0.02349452188220935,45.13419367201277
17,descriptor_mismatch_nominal,PVS_aware_area_MCMC,reactive_area,288,3,4,8,3,0.0426836439120266,0.0342383356208468,0.9863268173189292,,,0.4826388888888889,0.8090277777777778,0.9201388888888888,0.9652777777777778,1.0,2949.0,3063.0,0.0,0.7998122871880959,0.9652777777777778,2.509431930752919,1.9597839966025188,0.0120662995746585,,0.7799166666666667,0.8992161458333333,1.0,0.7016012731481481,,,94.60491867299424,0.4347010056351931,0.5872187586518025,0.0,low_joint_pvs,nominal,archived_nominal,,,0.0426836439120266,0.0342383356208468,0.9652777777777778,0.7799166666666667,0.8992161458333333,0.7016012731481481,0.0,1.0,2949.0,3063.0,0.7998122871880959,94.60491867299424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,prior_narrow,PVS_aware_area_MCMC,reactive_area,288,3,4,8,3,0.04272921984634463,0.03431177218572182,0.9862976023449503,,,0.4895833333333333,0.8125,0.9201388888888888,0.9652777777777778,1.0,3404.0,4387.0,0.0,0.7991775029199029,0.9652777777777778,2.4637631489879466,1.921501879795493,0.01183069026691718,,0.7879166666666667,0.8994377893518518,1.0,0.7089907407407408,,,120.63248729595216,0.443982600741496,0.5934380424795824,0.0,low_joint_pvs,narrow,new_targeted_fit,21972630.0,120.63251757621765,0.0426836439120266,0.0342383356208468,0.9652777777777778,0.7799166666666667,0.8992161458333333,0.7016012731481481,0.0,1.0,2949.0,3063.0,0.7998122871880959,94.60491867299424,4.557593431803175e-05,7.343656487501793e-05,0.0,0.008000000000000007,0.0002216435185184995,0.0073894675925926245,0.0,0.0,455.0,1324.0,-0.0006347842681930782,26.027568622957915
17,prior_broad,PVS_aware_area_MCMC,reactive_area,288,3,4,8,3,0.04270000522262465,0.03426958295160633,0.9863163330188925,,,0.4895833333333333,0.8159722222222222,0.9201388888888888,0.9652777777777778,1.0,3218.0,3621.0,0.0,0.8069182322069965,0.9652777777777778,2.461366613807283,1.8871693522257786,0.012018367403878141,,0.7888333333333334,0.898953125,1.0,0.7093556134259259,,,115.70985228399513,0.4354789501038572,0.5978556533962254,0.0,low_joint_pvs,broad,new_targeted_fit,21982630.0,115.70988321304321,0.0426836439120266,0.0342383356208468,0.9652777777777778,0.7799166666666667,0.8992161458333333,0.7016012731481481,0.0,1.0,2949.0,3063.0,0.7998122871880959,94.60491867299424,1.636131059804674e-05,3.124733075952901e-05,0.0,0.008916666666666684,-0.00026302083333329396,0.0077543402777777715,0.0,0.0,269.0,558.0,0.007105945018900606,21.104933611000888
17,prior_mildly_misspecified,PVS_aware_area_MCMC,reactive_area,288,3,4,8,3,0.04269559875255479,0.034242097561727955,0.9863191570727772,,,0.4861111111111111,0.8090277777777778,0.9201388888888888,0.9652777777777778,1.0,3349.0,3768.0,0.0,0.7515722508751925,0.9652777777777778,2.476059289166107,1.9624361822614789,0.011865813559849725,,0.7709166666666667,0.8989719328703704,1.0,0.693421875,,,119.94217503903201,0.45835997835378506,0.5842295815227382,0.0,low_joint_pvs,mildly_misspecified,new_targeted_fit,21992630.0,119.94220471382141,0.0426836439120266,0.0342383356208468,0.9652777777777778,0.7799166666666667,0.8992161458333333,0.7016012731481481,0.0,1.0,2949.0,3063.0,0.7998122871880959,94.60491867299424,1.1954840528190236e-05,3.7619408811556676e-06,0.0,-0.009000000000000008,-0.00024421296296295303,-0.008179398148148165,0.0,0.0,400.0,705.0,-0.04824003631290341,25.337256366037764
18,descriptor_mismatch_nominal,PVS_aware_area_MCMC,reactive_area,288,3,4,8,3,0.0430535689001955,0.0338055967201409,0.9857105254660266,,,0.4930555555555556,0.8368055555555556,0.9236111111111112,0.9583333333333334,1.0,3049.0,3368.0,0.0,0.7731895773383214,0.9583333333333334,3.2902165230887768,1.3536507952965589,0.0081903123289221,,0.5476666666666666,0.9216455439814816,1.0,0.5053833912037037,,,102.9161487750098,0.1260619785873889,0.0288927238238167,0.0,heteroscedastic_residuals;low_joint_pvs,nominal,archived_nominal,,,0.0430535689001955,0.0338055967201409,0.9583333333333334,0.5476666666666666,0.9216455439814816,0.5053833912037037,0.0,1.0,3049.0,3368.0,0.7731895773383214,102.9161487750098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,prior_narrow,PVS_aware_area_MCMC,reactive_area,288,3,4,8,3,0.0430806714798436,0.033811457104045865,0.9856925291172878,,,0.4930555555555556,0.8402777777777778,0.9305555555555556,0.9583333333333334,1.0,2988.0,4393.0,0.0,0.7774185943354129,0.9583333333333334,3.3074242273117918,1.366474907243702,0.008082169435992412,,0.5684166666666667,0.9227146990740741,1.0,0.5251357060185186,,,149.5654374199803,0.11589562813172981,0.026455580977987534,0.0,heteroscedastic_residuals;low_joint_pvs,narrow,new_targeted_fit,22072630.0,149.56547045707703,0.0430535689001955,0.0338055967201409,0.9583333333333334,0.5476666666666666,0.9216455439814816,0.5053833912037037,0.0,1.0,3049.0,3368.0,0.7731895773383214,102.9161487750098,2.710257964810142e-05,5.860383904966737e-06,0.0,0.020750000000000046,0.001069155092592533,0.019752314814814875,0.0,0.0,-61.0,1025.0,0.00422901699709155,46.6492886449705
18,prior_broad,PVS_aware_area_MCMC,reactive_area,288,3,4,8,3,0.04304751472650876,0.03379013950656647,0.9857145439425601,,,0.4895833333333333,0.8298611111111112,0.9236111111111112,0.9618055555555556,1.0,2869.0,4345.0,0.0,0.8007902213518975,0.9618055555555556,3.316943667753386,1.3522006925167724,0.00830024630775888,,0.5434166666666667,0.9215969328703704,1.0,0.5014071180555556,,,139.60948727105279,0.1238742903945215,0.027357960981970776,0.0,heteroscedastic_residuals;low_joint_pvs,broad,new_targeted_fit,22082630.0,139.60951924324036,0.0430535689001955,0.0338055967201409,0.9583333333333334,0.5476666666666666,0.9216455439814816,0.5053833912037037,0.0,1.0,3049.0,3368.0,0.7731895773383214,102.9161487750098,-6.0541736867439355e-06,-1.5457213574425477e-05,0.00347222222222221,-0.004249999999999976,-4.861111111120753e-05,-0.0039762731481480795,0.0,0.0,-180.0,977.0,0.027600644013576092,36.69333849604298
18,prior_mildly_misspecified,PVS_aware_area_MCMC,reactive_area,288,3,4,8,3,0.04305644864068464,0.03381634039423956,0.9857086138310266,,,0.4826388888888889,0.8402777777777778,0.9236111111111112,0.9583333333333334,1.0,3142.0,3498.0,0.0,0.7460932168654265,0.9583333333333334,3.3026068678513267,1.286341460372418,0.008547802289618208,,0.5490833333333334,0.9213226273148148,1.0,0.5067251157407408,,,142.12673779204488,0.14052101773445183,0.029840768349236813,0.0,heteroscedastic_residuals;low_joint_pvs,mildly_misspecified,new_targeted_fit,22092630.0,142.12676095962524,0.0430535689001955,0.0338055967201409,0.9583333333333334,0.5476666666666666,0.9216455439814816,0.5053833912037037,0.0,1.0,3049.0,3368.0,0.7731895773383214,102.9161487750098,2.879740489139526e-06,1.0743674098659395e-05,0.0,0.0014166666666667327,-0.00032291666666672825,0.00134172453703707,0.0,0.0,93.0,130.0,-0.027096360472894876,39.210589017035076
34,descriptor_mismatch_nominal,PVS_aware_area_MCMC,reactive_area,288,3,4,8,3,0.0514767328231903,0.0375039144759045,0.9804803663648188,,,0.4965277777777778,0.8333333333333334,0.9305555555555556,0.9583333333333334,1.0,3582.0,3405.0,0.0,0.7655552801617733,0.9583333333333334,2.7128373821464837,2.4039168138291536,0.0129244711108531,,0.7324166666666667,0.8805234375,1.0,0.645425925925926,,,97.93292746398949,1.1638525661804918e-85,0.0094312497058491,1.0,heteroscedastic_residuals;low_joint_pvs,nominal,archived_nominal,,,0.0514767328231903,0.0375039144759045,0.9583333333333334,0.7324166666666667,0.8805234375,0.645425925925926,0.0,1.0,3582.0,3405.0,0.7655552801617733,97.93292746398949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,prior_narrow,PVS_aware_area_MCMC,reactive_area,288,3,4,8,3,0.05157197490679216,0.037557492481266046,0.980408069219364,,,0.4930555555555556,0.8298611111111112,0.9236111111111112,0.9583333333333334,1.0,3679.0,5102.0,0.0,0.7968677535141981,0.9583333333333334,2.723676797952353,2.4317723613286195,0.013538357006615405,,0.7343333333333333,0.881220775462963,1.0,0.6475509259259259,,,137.08536109002307,1.1402686071818207e-86,0.009115784377626482,1.0,heteroscedastic_residuals;low_joint_pvs,narrow,new_targeted_fit,23672630.0,137.0853886604309,0.0514767328231903,0.0375039144759045,0.9583333333333334,0.7324166666666667,0.8805234375,0.645425925925926,0.0,1.0,3582.0,3405.0,0.7655552801617733,97.93292746398949,9.524208360186387e-05,5.357800536154311e-05,0.0,0.0019166666666665666,0.0006973379629630072,0.0021249999999999325,0.0,0.0,97.0,1697.0,0.03131247335242482,39.152433626033584
34,prior_broad,PVS_aware_area_MCMC,reactive_area,288,3,4,8,3,0.051470100467318404,0.0374964514406895,0.9804853959309802,,,0.4895833333333333,0.8368055555555556,0.9236111111111112,0.9583333333333334,1.0,3795.0,5019.0,0.0,0.8290377917927818,0.9583333333333334,2.781561005087959,2.4031397474339595,0.012830294042048378,,0.712,0.8800752314814815,1.0,0.6269742476851852,,,139.35781006602338,1.5631704713204068e-86,0.009799511932761415,1.0,heteroscedastic_residuals;low_joint_pvs,broad,new_targeted_fit,23682630.0,139.35783290863037,0.0514767328231903,0.0375039144759045,0.9583333333333334,0.7324166666666667,0.8805234375,0.645425925925926,0.0,1.0,3582.0,3405.0,0.7655552801617733,97.93292746398949,-6.632355871893925e-06,-7.463035215003744e-06,0.0,-0.02041666666666675,-0.0004482060185184711,-0.018451678240740788,0.0,0.0,213.0,1614.0,0.06348251163100849,41.42488260203389
